,,Number of employees,," 131,000 "," 89,450 "," 350,600 "," 137,701 "," 96,498 "," 442,749 "," 424,285 "," 35,000 "," 21,357 "," 24,200 "," 180,143 "," 205,170 "," 97,132 "," 8,900 "," 171,425 "," 120,081 "," 13,245 "," 87,080 "," 8,154 "," 9,600 "," 4,000 "," 12,578 "," 132,000 "," 309,630 "," 74,200 "," 863,000 "," 55,000 "," 128,000 "," 60,000 "," 80,000 "," 132,138 "," 77,571 "," 46,200 "," 61,800 "," 68,175 "," 101,203 "," 76,863 "," 57,017 "," 97,843 "," 73,600 "," 43,000 "," 104,781 "," 24,718 "," 109,390 "," 10,500 "," 37,412 "," 172,995 "," 83,000 "," 35,090 "," 200,000 "," 74,812 "," 200,000 "," 80,000 "," 35,124 "," 2,300 "," 12,900 ",
,,Service and other,USD," 22,933,000,000 ",," 33,687,000,000 "," 6,635,000,000 ",," 29,160,515,000 "," 323,924,814 "," 3,451,000,000 "," 1,148,990,000 "," 1,258,000,000 ",," 11,379,949,989 ",," 865,000,000 ",,," 203,434,000 ",," 622,658,000 "," 285,900,000 ",,,,," 4,297,000,000 ",,," 7,679,000,000 ",,,,,,,,,,,,,,,,," 449,000,000 "," 48,434,000 ",,,,,,,,," 57,408,000 "," 316,000,000 ",
,,Financing,USD,,," 1,132,000,000 ",,,," 28,254,235 ",,,,,,,,," 11,192,214 ",," 18,879,531 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Operating expenses,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Research and development,USD," 14,726,000,000 "," 21,419,000,000 "," 5,379,000,000 "," 6,026,000,000 "," 4,276,988,830 "," 4,198,557,000 ",," 1,886,000,000 "," 1,537,812,000 "," 1,975,000,000 ",,,," 1,186,000,000 ",,," 1,084,822,000 ",," 529,501,000 "," 725,000,000 "," 230,674,000 ",," 14,236,000,000 ",," 6,332,000,000 "," 2,800,889,622 "," 1,499,000,000 "," 20,640,000,000 "," 1,663,000,000 "," 680,000,000 ",," 909,448,415 "," 860,000,000 "," 2,400,000,000 "," 752,546,617 "," 5,452,349,422 ",," 1,266,341,000 "," 4,447,523,217 ",," 1,026,000,000 ",,,," 827,000,000 ",," 489,974,596 "," 626,987,000 "," 531,062,082 ",," 331,121,302 "," 38,531,000 "," 477,833,367 ",," 442,468,000 "," 607,000,000 ",
,,Sales and marketing,USD," 17,469,000,000 "," 16,333,000,000 ",," 8,509,000,000 "," 8,002,831,472 "," 2,403,315,000 ",," 6,064,000,000 "," 2,610,829,000 "," 2,918,000,000 "," 638,000,000 "," 1,232,916,572 ",," 1,634,000,000 "," 634,712,932 ",," 622,978,000 "," 616,518,739 "," 1,203,056,000 "," 1,183,900,000 "," 350,069,000 ",,,," 9,242,000,000 ",,,,,,,,,,,,,,,," 562,000,000 ",,,," 1,657,000,000 "," 114,594,000 ",,,,,,,,," 187,142,000 "," 1,185,000,000 ",
,,Selling general and administrative,USD," 4,754,000,000 "," 8,126,000,000 "," 19,366,000,000 "," 1,265,000,000 "," 1,295,842,642 ",," 11,165,559,903 "," 1,346,000,000 "," 744,898,000 "," 764,000,000 "," 778,000,000 "," 1,099,340,759 "," 13,008,361,886 "," 664,000,000 "," 512,661,529 "," 5,409,407,948 "," 262,560,000 "," 2,481,538,597 "," 296,027,000 "," 340,100,000 "," 107,444,000 "," 837,554,839 "," 16,705,000,000 "," 47,709,444,000 "," 2,144,000,000 "," 3,697,348,016 "," 5,368,000,000 "," 4,604,000,000 "," 4,851,000,000 "," 1,594,000,000 "," 8,418,257,184 "," 2,075,324,598 "," 1,467,000,000 "," 1,473,000,000 "," 1,172,174,106 "," 4,086,901,742 "," 3,387,990,392 "," 4,925,586,000 "," 3,145,580,493 "," 959,500,000 ",," 2,601,314,873 "," 1,200,929,609 "," 6,695,289,040 "," 278,000,000 ",," 465,549,133 "," 855,225,000 "," 2,019,234,492 "," 953,000,000 "," 195,470,544 "," 1,050,716,000 "," 411,021,277 "," 3,941,532,000 "," 65,420,000 ",,
,,Other operating expenses,USD,,,,," 23,603,691 ",," 3,773,081,939 ",,,,,," 501,550,008 ",,," 749,229,521 ",," 928,045,175 ",,,,,,,,,,,,," 80,812,441 ",,,,," 498,028,454 ",,,,,,,,,," 1,153,348,000 ",,," 11,039,091 ",,,,,,,"-33,000,000 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total operating expenses,USD," 75,302,000,000 "," 105,427,000,000 "," 67,399,000,000 "," 23,795,000,000 "," 22,405,803,788 "," 35,762,387,000 "," 15,290,820,890 "," 12,747,000,000 "," 6,088,538,000 "," 6,915,000,000 "," 9,103,000,000 "," 13,712,207,320 "," 13,509,911,894 "," 4,461,000,000 "," 7,037,228,126 "," 6,389,618,816 "," 2,622,224,000 "," 4,044,982,042 "," 2,651,242,000 "," 2,534,900,000 "," 1,165,149,000 "," 3,858,616,479 "," 194,736,000,000 "," 168,045,191,000 "," 36,442,000,000 "," 171,100,454,544 "," 54,453,000,000 "," 90,812,000,000 "," 28,074,000,000 "," 11,508,000,000 "," 34,473,450,704 "," 11,711,481,525 "," 8,411,000,000 "," 16,815,000,000 "," 13,467,850,724 "," 26,697,629,571 "," 14,029,941,676 "," 49,859,226,000 "," 23,897,450,175 "," 6,506,600,000 "," 9,408,000,000 "," 11,514,659,077 "," 7,652,033,250 "," 25,486,979,776 "," 4,963,000,000 "," 3,289,377,000 "," 44,004,687,419 "," 7,129,727,000 "," 7,206,660,523 "," 25,547,000,000 "," 31,858,651,398 "," 21,477,871,000 "," 29,152,841,877 "," 6,502,766,000 "," 1,473,022,000 "," 3,515,000,000 ",
